"%1 Days","%1 Tage"
"%1 of %2 conversations led to an order","%1 von %2 Gesprächen führten zu einer Bestellung"
"%1 of %2 responses contained clarification questions","%1 von %2 Antworten enthielten Rückfragen"
"%1 outgoing messages","%1 ausgehende Nachrichten"
"AI Language Model (LLM)","KI-Sprachmodell (LLM)"
"Language your product catalog is stored in (e.g. ""English"", ""German""). When set, the term extractor also generates synonyms/translations in this language for customer queries written in another language. Leave empty (default) to keep search terms in the customer's own language — recommended when customers and catalog share the same language.","Sprache, in der Ihr Produktkatalog gespeichert ist (z. B. ""English"", ""German""). Wenn gesetzt, erzeugt die Begriffs-Extraktion zusätzlich Synonyme/Übersetzungen in dieser Sprache für Kundenanfragen in einer anderen Sprache. Leer lassen (Standard), um Suchbegriffe in der Sprache des Kunden zu belassen — empfohlen, wenn Kunden und Katalog dieselbe Sprache verwenden."
"Last Activity","Letzte Aktivität"
"Leave empty to use this instance. e.g. https://work.maz.de","Leer lassen, um diese Instanz zu verwenden. z. B. https://work.maz.de"
"Magento payment method code used when placing orders. Examples: checkmo, purchaseorder, free. Default: checkmo.","Magento-Zahlartcode, der bei Bestellungen verwendet wird. Beispiele: checkmo, purchaseorder, free. Standard: checkmo."
"Main Model","Hauptmodell"
"Max Tokens","Max. Tokens"
"Maximum number of characters per message in the LLM history. If exceeded, the first and last halves are kept. Applies to all channels (e-mail, WebChat, WhatsApp). Default: 2000","Maximale Zeichenanzahl pro Nachricht in der LLM-History. Bei Überschreitung werden erste und letzte Hälfte beibehalten. Gilt für alle Kanäle (E-Mail, WebChat, WhatsApp). Standard: 2000"
"Messages","Nachrichten"
"Model","Modell"
"Move wishlist item to cart (wishlist_move_to_cart)","Wunschlisten-Artikel in Warenkorb (wishlist_move_to_cart)"
"Name the assistant uses to sign off (e.g. ""Your team at Example Ltd.""). Leave empty to use the ""From Name"" from the SMTP settings.","Name, mit dem sich der Assistent in der Verabschiedung signiert (z. B. ""Ihr Team von Muster GmbH""). Leer lassen = ""From Name"" aus den SMTP-Einstellungen wird verwendet."
"No data available for the selected period.","Keine Daten für den gewählten Zeitraum vorhanden."
"No data found for %1 — nothing to delete.","Keine Daten für %1 gefunden — nichts zu löschen."
"No email aliases registered yet.","Noch keine E-Mail-Aliase registriert."
"No messages yet.","Noch keine Nachrichten."
"No new messages found.","Keine neuen Nachrichten gefunden."
"None (no PO number required)","Keine (Bestellnummer nicht erforderlich)"
"Number of history turns for address, order, cart and account queries (no product RAG needed). Lower than the main-model turns to save tokens. Default: 2","Anzahl History-Turns für Adress-, Bestell-, Warenkorb- und Konto-Anfragen (kein Produkt-RAG nötig). Niedriger als Hauptmodell-Turns um Tokens zu sparen. Standard: 2"
"Number of recent conversation rounds (user + assistant = 1 turn each) passed to the main model as multi-turn context. More turns = more context but higher cost. Default: 4","Anzahl der letzten Gesprächsrunden (User+Assistent je 1 Turn), die dem Hauptmodell als Multi-Turn-Kontext übergeben werden. Mehr Turns = mehr Kontext, aber höhere Kosten. Standard: 4"
"Number of recent messages passed to the fast model (Haiku / Ministral) for query reformulation. Default: 6","Anzahl der letzten Nachrichten, die dem Fast-Model (Haiku / Ministral) für die Query-Reformulierung übergeben werden. Standard: 6"
"Only relevant when payment method is ""purchaseorder"". With ""ask_customer"" the assistant will request a PO number before placing the order. With ""auto_generate"" a reference number is created automatically.","Nur relevant, wenn die Zahlart ""purchaseorder"" ist. Mit ""ask_customer"" fragt der Assistent vor der Bestellung nach einer Bestellnummer. Mit ""auto_generate"" wird automatisch eine Referenznummer erzeugt."
"Open","Offen"
"Optional additional instructions appended to the default prompt. Leave empty for the default prompt only. Changes take effect immediately.","Optionale zusätzliche Anweisungen, die an den Standard-Prompt angehängt werden. Leer lassen = nur Standard-Prompt. Änderungen werden sofort wirksam."
"PO Number Mode","Bestellnummer-Modus"
"Payment & Shipping","Zahlung & Versand"
"Payment Method Code","Zahlartcode"
"Pending","Ausstehend"
"Period:","Zeitraum:"
"Permanently anonymize all conversation data for this email address?","Alle Gesprächsdaten für diese E-Mail-Adresse unwiderruflich anonymisieren?"
"Permanently anonymize this conversation?","Diese Konversation unwiderruflich anonymisieren?"
"Permanently delete all data for an email address","Alle Daten einer E-Mail-Adresse endgültig löschen"
"Permanently removes ALL Conversational Commerce database records for an email address: conversations including messages, usage logs, alias addresses and rejection notices. Intended for cleaning up test data so a scenario can be replayed from scratch.","Entfernt ALLE Conversational-Commerce-Datenbankeinträge einer E-Mail-Adresse unwiderruflich: Konversationen samt Nachrichten, Usage-Logs, Alias-Adressen und Ablehnungs-Notizen. Gedacht zum Aufräumen von Testdaten, damit ein Szenario von vorne durchgespielt werden kann."
"Pinecone (Vector DB)","Pinecone (Vektor-DB)"
"Place order / checkout cart (cart_checkout)","Bestellung aufgeben / Warenkorb auschecken (cart_checkout)"
"Please enter a valid alias email address.","Bitte eine gültige Alias-E-Mail-Adresse eingeben."
"Please enter a valid conversation ID.","Bitte eine gültige Konversations-ID eingeben."
"Please enter a valid customer email address.","Bitte eine gültige Kunden-E-Mail-Adresse eingeben."
"Please enter an email address.","Bitte E-Mail-Adresse eingeben."
"Poll Mail Now","E-Mail jetzt abrufen"
"Preferred Shipping Method","Bevorzugte Versandart"
"Prefilled with the test account — editable to delete other addresses.","Vorbelegt mit dem Testkonto — überschreibbar, um andere Adressen zu löschen."
"Primary Color","Primärfarbe"
"Primary Email","Primäre E-Mail"
"Product Search / Indexing","Produktsuche / Indexierung"
"Product index updated successfully.","Produktindex erfolgreich aktualisiert."
"Provider","Anbieter"
"Query order details (get_order_detail)","Bestelldetails abfragen (get_order_detail)"
"Query order history (get_order_history)","Bestellhistorie abfragen (get_order_history)"
"Query shipment tracking (get_shipment_tracking)","Sendungsverfolgung abfragen (get_shipment_tracking)"
"Re-Index Products","Produkte neu indexieren"
"Really delete ALL database records for %1 permanently?","Wirklich ALLE Datenbankeinträge für %1 unwiderruflich löschen?"
"Remove coupon code (remove_coupon_code)","Gutscheincode entfernen (remove_coupon_code)"
"Remove item from cart (cart_remove_item)","Artikel aus Warenkorb entfernen (cart_remove_item)"
"Remove product from wishlist (wishlist_remove_item)","Produkt von Wunschliste entfernen (wishlist_remove_item)"
"Reorder from order history (reorder_from_history)","Aus Bestellhistorie nachbestellen (reorder_from_history)"
"Resume AI and continue conversation?","KI-Pause aufheben und Konversation fortsetzen?"
"Retrieve invoice (get_invoice)","Rechnung abrufen (get_invoice)"
"Search products by filter (search_products_by_filter)","Produkte nach Filter suchen (search_products_by_filter)"
"Shop Name (Signature)","Shop-Name (Signatur)"
"Show account data (get_account_info)","Kontodaten anzeigen (get_account_info)"
"Show shipping addresses (get_shipping_addresses)","Lieferadressen anzeigen (get_shipping_addresses)"
"Show wishlist (get_wishlist)","Wunschliste anzeigen (get_wishlist)"
"Shows an AI-powered chat widget on the storefront for logged-in customers. Uses the same pipeline as email and WhatsApp.","Zeigt eingeloggten Kunden im Storefront ein KI-gestütztes Chat-Widget. Nutzt dieselbe Pipeline wie E-Mail und WhatsApp."
"Sonnet 4.6 recommended – approx. 5x cheaper than Opus 4.7 with comparable quality for B2B order assistance.","Sonnet 4.6 empfohlen – ca. 5× günstiger als Opus 4.7 bei vergleichbarer Qualität für B2B-Bestellassistenz."
"Subscribe / unsubscribe newsletter (toggle_newsletter)","Newsletter an-/abmelden (toggle_newsletter)"
"System Prompt (Default, fixed)","System-Prompt (Standard, fest)"
"System Prompt Additions","System-Prompt Ergänzungen"
"Text on the floating action button. e.g. ""Chat"" or ""Order now""","Text auf dem schwebenden Aktions-Button. z. B. ""Chat"" oder ""Jetzt bestellen""."
"The ID is visible in the conversation list.","Die ID ist in der Konversationsliste sichtbar."
"The built-in default prompt. Not editable – for reference only.","Der fest hinterlegte Standard-Prompt. Nicht abänderbar – nur zur Ansicht."
"This is the built-in default system prompt. It is <strong>not editable</strong>. Enter your own instructions in the ""System Prompt Additions"" field below — they are automatically appended to the default prompt.","Dies ist der fest hinterlegte Standard-System-Prompt. Er ist <strong>nicht abänderbar</strong>. Eigene Anweisungen tragen Sie im Feld „System Prompt Additions“ darunter ein – diese werden automatisch an den Standard-Prompt angehängt."
"Top K Results","Top-K-Treffer"
"Total Cost","Gesamtkosten"
"Total LLM Cost","LLM-Kosten gesamt"
"Upon customer request, all conversation data for an email address can be permanently anonymized. The email address is replaced with a hash, the message content is deleted, and all alias addresses are removed. Conversation metadata (channel, timestamps) is retained for internal analytics.","Auf Kundenwunsch können alle Gesprächsdaten einer E-Mail-Adresse unwiderruflich anonymisiert werden. Dabei wird die E-Mail-Adresse durch einen Hash ersetzt, der Nachrichteninhalt gelöscht und alle Alias-Adressen entfernt. Konversations-Metadaten (Kanal, Zeitstempel) bleiben für interne Auswertungen erhalten."
"Used for the low-cost conversational query reformulation. Default: Haiku 4.5.","Wird für die kostengünstige Konversations-Query-Reformulierung genutzt. Standard: Haiku 4.5."
"View","Anzeigen"
"Warning: This is a real DELETE with no recovery and no audit trail. For production GDPR requests, use the ""GDPR – Data Deletion"" page (anonymization) instead.","Achtung: Dies ist ein echtes DELETE ohne Wiederherstellung und ohne Audit-Spur. Für DSGVO-Anfragen aus dem Produktivbetrieb stattdessen die Seite „DSGVO – Datenlöschung“ (Anonymisierung) verwenden."
"Web Chat Widget","Web-Chat-Widget"
"Welcome Message","Willkommensnachricht"
"When enabled, every LLM request payload and full response is shown as a formatted debug block in the WebChat window. Disable in production.","Wenn aktiviert, wird jede LLM-Anfrage samt vollständiger Antwort als formatierter Debug-Block im WebChat-Fenster angezeigt. Im Produktivbetrieb deaktivieren."
"Widget Title","Widget-Titel"
"e.g. Work laptop, Colleague","z. B. Arbeitslaptop, Kollege"
"e.g. magento-products","z. B. magento-products"
"e.g. us-east-1","z. B. us-east-1"
"e.g. voyage-3","z. B. voyage-3"
"in the last %1 days","in den letzten %1 Tagen"
